country	counterpart	_quantity	_responsible	_webmode	cp_hidden
3	3024	-1	andres_int	1	3024
3	3025	-1	andres_int	1	3025
3	3026	-1	andres_int	1	3026
3	3027	-1	andres_int	1	3027
3	3028	-1	andres_int	1	3028
3	3029	-1	andres_int	1	3029
3	3030	-1	andres_int	1	3030
3	3032	-1	andres_int	1	3032
3	3035	-1	andres_int	1	3035
3	3036	-1	andres_int	1	3036
3	3037	-1	andres_int	1	3037
3	3038	-1	andres_int	1	3038
3	3040	-1	andres_int	1	3040
3	3041	-1	andres_int	1	3041
3	3043	-1	andres_int	1	3043
3	3044	-1	andres_int	1	3044
3	3045	-1	andres_int	1	3045
3	3047	-1	andres_int	1	3047
3	3048	-1	andres_int	1	3048
3	3049	-1	andres_int	1	3049
3	3051	-1	andres_int	1	3051
3	3052	-1	andres_int	1	3052
3	3054	-1	andres_int	1	3054
3	3055	-1	andres_int	1	3055
3	3057	-1	andres_int	1	3057
3	3058	-1	andres_int	1	3058
3	3059	-1	andres_int	1	3059
3	3060	-1	andres_int	1	3060
3	3061	-1	andres_int	1	3061
3	3062	-1	andres_int	1	3062
3	3064	-1	andres_int	1	3064
3	3066	-1	andres_int	1	3066
3	3067	-1	andres_int	1	3067
3	3069	-1	andres_int	1	3069
3	3071	-1	andres_int	1	3071
3	3073	-1	andres_int	1	3073
3	3077	-1	andres_int	1	3077
3	3078	-1	andres_int	1	3078
3	3081	-1	andres_int	1	3081
3	3083	-1	andres_int	1	3083
3	3084	-1	andres_int	1	3084
3	3085	-1	andres_int	1	3085
3	3086	-1	andres_int	1	3086
3	3088	-1	andres_int	1	3088
3	3089	-1	andres_int	1	3089
3	3092	-1	andres_int	1	3092
3	3093	-1	andres_int	1	3093
3	3094	-1	andres_int	1	3094
3	3096	-1	andres_int	1	3096
3	3097	-1	andres_int	1	3097
3	3099	-1	andres_int	1	3099
3	3100	-1	andres_int	1	3100
3	3102	-1	andres_int	1	3102
3	3103	-1	andres_int	1	3103
3	3105	-1	andres_int	1	3105
3	3106	-1	andres_int	1	3106
3	3110	-1	andres_int	1	3110
3	3111	-1	andres_int	1	3111
3	3112	-1	andres_int	1	3112
3	3113	-1	andres_int	1	3113
3	3114	-1	andres_int	1	3114
3	3115	-1	andres_int	1	3115
3	3116	-1	andres_int	1	3116
3	3119	-1	andres_int	1	3119
4	4001	-1	andres_int	1	4001
4	4002	-1	andres_int	1	4002
4	4003	-1	andres_int	1	4003
4	4004	-1	andres_int	1	4004
4	4005	-1	andres_int	1	4005
4	4006	-1	andres_int	1	4006
4	4007	-1	andres_int	1	4007
4	4008	-1	andres_int	1	4008
4	4009	-1	andres_int	1	4009
4	4010	-1	andres_int	1	4010
4	4012	-1	andres_int	1	4012
4	4016	-1	andres_int	1	4016
4	4017	-1	andres_int	1	4017
4	4018	-1	andres_int	1	4018
4	4019	-1	andres_int	1	4019
4	4020	-1	andres_int	1	4020
4	4023	-1	andres_int	1	4023
4	4024	-1	andres_int	1	4024
4	4025	-1	andres_int	1	4025
4	4026	-1	andres_int	1	4026
4	4027	-1	andres_int	1	4027
4	4029	-1	andres_int	1	4029
4	4031	-1	andres_int	1	4031
4	4033	-1	andres_int	1	4033
4	4034	-1	andres_int	1	4034
4	4035	-1	andres_int	1	4035
4	4036	-1	andres_int	1	4036
4	4037	-1	andres_int	1	4037
4	4039	-1	andres_int	1	4039
4	4040	-1	andres_int	1	4040
4	4041	-1	andres_int	1	4041
4	4044	-1	andres_int	1	4044
4	4045	-1	andres_int	1	4045
4	4046	-1	andres_int	1	4046
4	4047	-1	andres_int	1	4047
5	5003	-1	andres_int	1	5003
5	5004	-1	andres_int	1	5004
5	5005	-1	andres_int	1	5005
5	5006	-1	andres_int	1	5006
5	5007	-1	andres_int	1	5007
5	5008	-1	andres_int	1	5008
5	5009	-1	andres_int	1	5009
5	5010	-1	andres_int	1	5010
5	5011	-1	andres_int	1	5011
5	5012	-1	andres_int	1	5012
5	5013	-1	andres_int	1	5013
5	5016	-1	andres_int	1	5016
6	6001	-1	andres_int	1	6001
6	6002	-1	andres_int	1	6002
6	6004	-1	andres_int	1	6004
6	6005	-1	andres_int	1	6005
6	6007	-1	andres_int	1	6007
6	6008	-1	andres_int	1	6008
6	6010	-1	andres_int	1	6010
6	6011	-1	andres_int	1	6011
6	6012	-1	andres_int	1	6012
6	6014	-1	andres_int	1	6014
6	6017	-1	andres_int	1	6017
6	6018	-1	andres_int	1	6018
6	6019	-1	andres_int	1	6019
6	6020	-1	andres_int	1	6020
6	6022	-1	andres_int	1	6022
6	6023	-1	andres_int	1	6023
6	6024	-1	andres_int	1	6024
6	6026	-1	andres_int	1	6026
6	6027	-1	andres_int	1	6027
6	6029	-1	andres_int	1	6029
6	6030	-1	andres_int	1	6030
6	6031	-1	andres_int	1	6031
6	6032	-1	andres_int	1	6032
6	6034	-1	andres_int	1	6034
6	6035	-1	andres_int	1	6035
6	6036	-1	andres_int	1	6036
6	6037	-1	andres_int	1	6037
6	6038	-1	andres_int	1	6038
6	6039	-1	andres_int	1	6039
6	6040	-1	andres_int	1	6040
6	6041	-1	andres_int	1	6041
6	6043	-1	andres_int	1	6043
6	6044	-1	andres_int	1	6044
6	6045	-1	andres_int	1	6045
6	6046	-1	andres_int	1	6046
6	6048	-1	andres_int	1	6048
6	6050	-1	andres_int	1	6050
6	6051	-1	andres_int	1	6051
6	6052	-1	andres_int	1	6052
6	6053	-1	andres_int	1	6053
6	6054	-1	andres_int	1	6054
6	6055	-1	andres_int	1	6055
6	6056	-1	andres_int	1	6056
6	6057	-1	andres_int	1	6057
6	6058	-1	andres_int	1	6058
6	6061	-1	andres_int	1	6061
6	6062	-1	andres_int	1	6062
6	6063	-1	andres_int	1	6063
6	6064	-1	andres_int	1	6064
6	6065	-1	andres_int	1	6065
6	6066	-1	andres_int	1	6066
6	6067	-1	andres_int	1	6067
6	6068	-1	andres_int	1	6068
6	6069	-1	andres_int	1	6069
6	6070	-1	andres_int	1	6070
6	6072	-1	andres_int	1	6072
6	6074	-1	andres_int	1	6074
6	6075	-1	andres_int	1	6075
6	6076	-1	andres_int	1	6076
6	6078	-1	andres_int	1	6078
6	6079	-1	andres_int	1	6079
6	6080	-1	andres_int	1	6080
6	6081	-1	andres_int	1	6081
6	6083	-1	andres_int	1	6083
6	6084	-1	andres_int	1	6084
6	6085	-1	andres_int	1	6085
6	6086	-1	andres_int	1	6086
6	6087	-1	andres_int	1	6087
6	6088	-1	andres_int	1	6088
6	6089	-1	andres_int	1	6089
6	6090	-1	andres_int	1	6090
6	6091	-1	andres_int	1	6091
6	6092	-1	andres_int	1	6092
6	6093	-1	andres_int	1	6093
6	6096	-1	andres_int	1	6096
6	6097	-1	andres_int	1	6097
6	6098	-1	andres_int	1	6098
6	6099	-1	andres_int	1	6099
6	6100	-1	andres_int	1	6100
6	6101	-1	andres_int	1	6101
6	6102	-1	andres_int	1	6102
6	6103	-1	andres_int	1	6103
6	6104	-1	andres_int	1	6104
6	6105	-1	andres_int	1	6105
6	6106	-1	andres_int	1	6106
6	6107	-1	andres_int	1	6107
6	6109	-1	andres_int	1	6109
6	6110	-1	andres_int	1	6110
6	6111	-1	andres_int	1	6111
6	6113	-1	andres_int	1	6113
6	6114	-1	andres_int	1	6114
6	6115	-1	andres_int	1	6115
6	6116	-1	andres_int	1	6116
6	6117	-1	andres_int	1	6117
6	6118	-1	andres_int	1	6118
6	6119	-1	andres_int	1	6119
6	6120	-1	andres_int	1	6120
6	6121	-1	andres_int	1	6121
6	6122	-1	andres_int	1	6122
6	6124	-1	andres_int	1	6124
6	6126	-1	andres_int	1	6126
6	6127	-1	andres_int	1	6127
6	6128	-1	andres_int	1	6128
6	6129	-1	andres_int	1	6129
6	6130	-1	andres_int	1	6130
6	6131	-1	andres_int	1	6131
6	6132	-1	andres_int	1	6132
6	6134	-1	andres_int	1	6134
6	6135	-1	andres_int	1	6135
6	6136	-1	andres_int	1	6136
6	6138	-1	andres_int	1	6138
6	6139	-1	andres_int	1	6139
6	6141	-1	andres_int	1	6141
6	6143	-1	andres_int	1	6143
6	6144	-1	andres_int	1	6144
6	6146	-1	andres_int	1	6146
6	6149	-1	andres_int	1	6149
6	6150	-1	andres_int	1	6150
6	6151	-1	andres_int	1	6151
6	6153	-1	andres_int	1	6153
6	6154	-1	andres_int	1	6154
6	6156	-1	andres_int	1	6156
6	6159	-1	andres_int	1	6159
6	6162	-1	andres_int	1	6162
6	6164	-1	andres_int	1	6164
6	6165	-1	andres_int	1	6165
6	6166	-1	andres_int	1	6166
6	6168	-1	andres_int	1	6168
6	6169	-1	andres_int	1	6169
6	6170	-1	andres_int	1	6170
6	6171	-1	andres_int	1	6171
6	6172	-1	andres_int	1	6172
6	6173	-1	andres_int	1	6173
6	6174	-1	andres_int	1	6174
6	6176	-1	andres_int	1	6176
6	6177	-1	andres_int	1	6177
6	6178	-1	andres_int	1	6178
6	6179	-1	andres_int	1	6179
6	6180	-1	andres_int	1	6180
6	6181	-1	andres_int	1	6181
6	6182	-1	andres_int	1	6182
6	6184	-1	andres_int	1	6184
6	6185	-1	andres_int	1	6185
6	6187	-1	andres_int	1	6187
6	6188	-1	andres_int	1	6188
7	7001	-1	andres_int	1	7001
7	7002	-1	andres_int	1	7002
7	7003	-1	andres_int	1	7003
7	7006	-1	andres_int	1	7006
7	7007	-1	andres_int	1	7007
7	7008	-1	andres_int	1	7008
7	7010	-1	andres_int	1	7010
7	7012	-1	andres_int	1	7012
7	7014	-1	andres_int	1	7014
7	7016	-1	andres_int	1	7016
7	7017	-1	andres_int	1	7017
7	7018	-1	andres_int	1	7018
7	7019	-1	andres_int	1	7019
7	7022	-1	andres_int	1	7022
7	7024	-1	andres_int	1	7024
7	7025	-1	andres_int	1	7025
7	7027	-1	andres_int	1	7027
7	7028	-1	andres_int	1	7028
7	7030	-1	andres_int	1	7030
7	7031	-1	andres_int	1	7031
7	7033	-1	andres_int	1	7033
7	7034	-1	andres_int	1	7034
7	7035	-1	andres_int	1	7035
7	7036	-1	andres_int	1	7036
7	7037	-1	andres_int	1	7037
